category,url,finalUrl,status,ok,lang,rawTokens,stateTokens,saved,chunks,blocks,facts,dateFound,dateSource,anchorsWithId,keptShare,warnings,dropped,ms,glued
"news-es","https://elpais.com/espana/2026-09-21/el-juez-peinado-abre-juicio-oral-a-begona-gomez-por-delitos-de-trafico-de-influencias-y-malversacion.html","https://elpais.com/espana/2026-09-21/el-juez-peinado-abre-juicio-oral-a-begona-gomez-por-delitos-de-trafico-de-influencias-y-malversacion.html","200","true","es","151343","1823","0.9880","1","16","0","true","json-ld","0","0.456","","227","1117","0"
"news-es","https://elpais.com/espana/2026-09-21/el-gobierno-condena-la-persecucion-judicial-a-begona-gomez-tras-la-decision-de-apertura-de-juicio-oral.html","https://elpais.com/espana/2026-09-21/el-gobierno-condena-la-persecucion-judicial-a-begona-gomez-tras-la-decision-de-apertura-de-juicio-oral.html","200","true","es","149808","1112","0.9926","1","9","1","true","json-ld","0","0.335","","225","1046","0"
"wiki-en","https://en.wikipedia.org/wiki/L%C3%BCbben_(Spreewald)_station","https://en.wikipedia.org/wiki/L%C3%BCbben_(Spreewald)_station","200","true","en","34116","234","0.9931","1","5","0","true","json-ld","1","0.171","thin-content","267","1743","1"
"wiki-en","https://en.wikipedia.org/wiki/Lightning_Triggers","https://en.wikipedia.org/wiki/Lightning_Triggers","200","true","en","25582","235","0.9908","1","11","0","true","json-ld","1","0.220","thin-content","263","1136","2"
"wiki-en","https://en.wikipedia.org/wiki/Last_Seen_in_Massilia","https://en.wikipedia.org/wiki/Last_Seen_in_Massilia","200","true","en","28622","2183","0.9237","1","17","0","true","json-ld","1","0.740","","255","517","0"
"wiki-ru","https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D1%80%D1%82%D1%83%D1%8D%D1%81%D1%82-%D0%9C%D0%B8%D1%80%D0%B0%D0%BC%D0%B8%D1%88%D0%B8","https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D1%80%D1%82%D1%83%D1%8D%D1%81%D1%82-%D0%9C%D0%B8%D1%80%D0%B0%D0%BC%D0%B8%D1%88%D0%B8","200","true","ru","38902","668","0.9828","1","9","0","true","json-ld","1","0.426","","269","2487","0"
"wiki-ru","https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%BD-%D0%96%D0%B0%D0%BD-%D0%BB%D0%B5-%D0%92%D1%8C%D1%91_(%D0%AD%D0%BD)","https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%BD-%D0%96%D0%B0%D0%BD-%D0%BB%D0%B5-%D0%92%D1%8C%D1%91_(%D0%AD%D0%BD)","200","true","ru","73709","827","0.9888","1","20","2","true","json-ld","1","0.221","thin-content","292","763","0"
"wiki-fr","https://fr.wikipedia.org/wiki/Maison_de_Saint-Vincent-de-Paul","https://fr.wikipedia.org/wiki/Maison_de_Saint-Vincent-de-Paul","200","true","fr","31879","962","0.9698","1","26","1","true","json-ld","1","0.512","","293","1856","1"
"wiki-ja","https://ja.wikipedia.org/wiki/%E7%94%B0%E4%BB%A3%E5%B3%B6","https://ja.wikipedia.org/wiki/%E7%94%B0%E4%BB%A3%E5%B3%B6","200","true","ja","110513","24465","0.7786","2","81","2","true","json-ld","2","2.020","","349","2812","0"
"wiki-he","https://he.wikipedia.org/wiki/%D7%94%D7%A8%D7%A6%D7%97_(%D7%A1%D7%93%D7%A8%D7%AA_%D7%98%D7%9C%D7%95%D7%95%D7%99%D7%96%D7%99%D7%94)","https://he.wikipedia.org/wiki/%D7%94%D7%A8%D7%A6%D7%97_(%D7%A1%D7%93%D7%A8%D7%AA_%D7%98%D7%9C%D7%95%D7%95%D7%99%D7%96%D7%99%D7%94)","200","true","he","63300","3286","0.9481","1","41","1","true","json-ld","1","0.738","","363","1717","3"
"docs","https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_grid_layout","https://developer.mozilla.org/en-US/docs/Web/CSS/Guides/Grid_layout","200","true","en-US","90993","748","0.9918","1","52","0","true","time","1","0.148","","140","1273","0"
"docs","https://docs.python.org/3/library/asyncio.html","https://docs.python.org/3/library/asyncio.html","200","true","en","6941","459","0.9339","1","23","0","false","","1","0.561","","97","551","3"
"docs","https://doc.rust-lang.org/book/ch04-01-what-is-ownership.html","https://doc.rust-lang.org/book/ch04-01-what-is-ownership.html","200","true","en","17490","5493","0.6859","1","105","0","false","","1","0.994","","49","450","0"
"docs","https://kubernetes.io/docs/concepts/overview/","https://kubernetes.io/docs/concepts/overview/","200","true","en","132588","1809","0.9864","1","27","0","false","","1","0.284","","1896","2200","4"
"docs","https://www.postgresql.org/docs/current/sql-select.html","https://www.postgresql.org/docs/current/sql-select.html","200","true","en","30324","12908","0.5743","2","270","1","true","meta","0","0.988","","47","1231","28"
"docs","https://www.rfc-editor.org/rfc/rfc2616","https://www.rfc-editor.org/info/rfc2616/","200","true","en","508797","80433","0.8419","8","177","0","false","","0","0.981","","255","3450","28"
"blog","https://martinfowler.com/articles/microservices.html","https://martinfowler.com/articles/microservices.html","200","true","en","21839","7748","0.6452","1","133","0","false","","1","0.810","","80","1295","6"
"blog","https://www.joelonsoftware.com/2000/08/09/the-joel-test-12-steps-to-better-code/","https://www.joelonsoftware.com/2000/08/09/the-joel-test-12-steps-to-better-code/","200","true","en-US","20399","4304","0.7890","1","60","20","true","meta","0","0.875","","161","2220","3"
"blog","https://go.dev/blog/slices-intro","https://go.dev/blog/slices-intro","200","true","en","10043","2439","0.7571","1","79","0","false","","0","0.834","","136","809","16"
"blog","https://www.paulgraham.com/ds.html","https://www.paulgraham.com/ds.html","200","true","en","9981","5009","0.4981","1","73","6","false","","0","1.000","","13","1099","0"
"science","https://pubmed.ncbi.nlm.nih.gov/33301246/","https://pubmed.ncbi.nlm.nih.gov/33301246/","203","false","en","1431","8","0.9944","0","0","0","false","","0","0.000","blocked","5","416","0"
"science","https://arxiv.org/abs/2005.14165","https://arxiv.org/abs/2005.14165","200","true","en","14358","720","0.9499","1","8","3","false","","0","0.507","","206","603","7"
"health","https://www.mayoclinic.org/diseases-conditions/diabetes/symptoms-causes/syc-20371444","https://www.mayoclinic.org/diseases-conditions/diabetes/symptoms-causes/syc-20371444","403","false","en","184","86","0.5326","1","3","0","false","","0","0.953","blocked|fallback-extractor","0","537","2"
"health","https://www.nhs.uk/conditions/asthma/","https://www.nhs.uk/conditions/asthma/","200","true","en","16103","1941","0.8795","1","87","4","true","meta","1","0.928","","134","611","1"
"gov","https://www.usa.gov/passport","https://www.usa.gov/passport","200","true","en","9657","176","0.9818","1","2","0","false","","1","0.312","","154","3824","0"
"gov","https://www.gov.uk/renew-adult-passport","https://www.gov.uk/renew-adult-passport","200","true","en","23237","237","0.9898","1","13","2","true","json-ld","0","0.253","thin-content","268","688","0"
"gov","https://www.law.cornell.edu/uscode/text/17/107","https://www.law.cornell.edu/uscode/text/17/107","200","true","en","20175","5781","0.7135","1","3","8","false","","1","0.955","","118","1254","0"
"reference","https://en.wikivoyage.org/wiki/Paris","https://en.wikivoyage.org/wiki/Paris","200","true","en","322096","32084","0.9004","3","369","147","true","json-ld","3","0.938","","1131","4276","7"
"reference","https://www.wikihow.com/Tie-a-Tie","https://www.wikihow.com/Tie-a-Tie","200","true","en","201293","2614","0.9870","1","47","1","true","json-ld","1","0.511","","758","4672","3"
"reference","https://www.gutenberg.org/files/1342/1342-h/1342-h.htm","https://www.gutenberg.org/files/1342/1342-h/1342-h.htm","200","true","en","204222","158282","0.2250","15","2188","0","false","","1","1.002","","28","4309","0"
"recipe","https://www.allrecipes.com/recipe/10813/best-chocolate-chip-cookies/","https://www.allrecipes.com/recipe/10813/best-chocolate-chip-cookies/","200","true","en","212583","1391","0.9935","1","41","12","true","json-ld","1","0.441","","700","1909","3"
"recipe","https://www.bbcgoodfood.com/recipes/best-ever-chocolate-brownies-recipe","https://www.bbcgoodfood.com/recipes/best-ever-chocolate-brownies-recipe","200","true","en","170219","1100","0.9935","1","17","5","true","json-ld","0","0.484","","199","1784","0"
"forum","https://news.ycombinator.com/item?id=1","https://news.ycombinator.com/item?id=1","200","true","en","2256","54","0.9761","1","3","0","false","","0","0.354","","0","1343","0"
"forum","https://lobste.rs/","https://lobste.rs/","0","false","","0","0","0.0000","0","0","0","false","","0","0.000","robots-disallowed","0","392","0"
"commerce","https://www.apple.com/macbook-air/","https://www.apple.com/macbook-air/","200","true","en-US","148895","1530","0.9897","1","48","4","false","","0","0.170","","760","1636","37"
"commerce","https://www.imdb.com/title/tt0111161/","https://www.imdb.com/title/tt0111161/","0","false","","0","0","0.0000","0","0","0","false","","0","0.000","robots-disallowed","0","205","0"
"listing","https://www.anthropic.com/news","https://www.anthropic.com/news","200","true","en","140278","366","0.9974","1","11","0","false","","0","0.516","","74","884","0"
"listing","https://www.espn.com/","https://www.espn.com/","200","true","en","75003","853","0.9886","1","28","1","false","","0","0.605","","247","895","1"
